objName,objAltName1,objAltName2,objAltName3,NED_name,NED_redshift,raMean,decMean,TransientName,TransientRA,TransientDEC
PSO J084301.534+442932.813,,,,WISEA J084301.54+442932.7,0.543452,130.75638286,44.49244321,PSc110726,130.75631249999998,44.49585
PSO J095842.029+443042.923,,,,SDSS J095842.03+443042.9,,149.67513769,44.51192031,SN2018hoj,149.6749916666666,44.51194166666666
PSO J163041.344+443048.491,,,,CGCG 224-062,0.031675,247.67226553,44.51349048,SN2014ag,247.6695,44.5096388888889
PSO J084056.871+443127.409,,,,WISEA J084056.86+443127.4,0.089503,130.23696819,44.52428233,PSc590194,130.23693749999998,44.524322222222224
PSO J174922.522+443104.172,,,,WISEA J174922.51+443103.9,,267.34383867,44.51781581,SN2019bgg,267.343825,44.51826111111111
PSO J120309.610+443152.813,,,,NGC 4051,0.002336,180.79005312,44.53134271,SN2010br,180.79562916666663,44.52863888888889
PSO J190003.865+443208.181,,,,WISEA J190003.95+443207.5,,285.01610863,44.53560018,KSN2011a,285.0161166666666,44.53554166666667
PSO J115059.663+443300.842,,,,WISEA J115059.67+443301.8,,177.74859402,44.55026404,SN2019bvj,177.74970416666665,44.550802777777776
PSO J083650.954+443413.840,,,,WISEA J083650.94+443413.7,,129.21231809,44.57049823,PSc000095,129.21254166666665,44.57064722222222
PSO J085109.036+443403.365,,,,SDSS J085109.03+443403.3,,132.78765747,44.56759075,CSS150220:085109+443352,132.78645833333331,44.564555555555536
PSO J020514.172+443452.725,,,,WISEA J020514.17+443451.9,,31.30904533,44.58131384,iPTF15czf,31.30870416666667,44.58193888888889
PSO J084048.010+443525.799,,,,SDSS J084048.03+443525.7,,130.20003799,44.59053621,PSc580270,130.20006666666666,44.590627777777776
PSO J045145.562+443602.593,,,,WEIN 069,0.017179,72.93987947,44.60073167,SN2016hgf,72.94154166666667,44.60085
PSO J083602.840+443611.750,,,,WISEA J083602.81+443612.2,,129.01185172,44.60325838,PSc350480,129.0117958333333,44.60328333333334
PSO J151433.665+443725.652,,,,WISEA J151433.66+443725.5,,228.64030962,44.62379101,PTF12dst,228.6408333333333,44.62333333333334
PSO J084253.141+443733.998,,,,SDSS J084253.14+443734.0,,130.72139653,44.62610665,PSc110429,130.72175,44.62618055555557
PSO J060721.312+443922.740,,,,2MASX J06072133+4439223,,91.83880198,44.65632422,SN2019crl,91.84308333333333,44.65603611111111
PSO J083844.167+443915.765,,,,WISEA J083844.20+443915.3,,129.6840521,44.65433431,PSc110022,129.6840083333333,44.65444444444447
PSO J113621.229+444002.023,,,,CGCG 242-058,0.058691,174.08845708,44.66722318,AT2016ioj,174.09095833333333,44.668205555555545
PSO J145847.258+444014.085,,,,WISEA J145847.27+444013.8,,224.69686989,44.67068076,SN2018ety,224.69368333333333,44.67068333333333
PSO J125819.885+444030.054,,,,SDSS J125819.88+444030.0,,194.5828597,44.67502532,PTF12elj,194.58291666666665,44.67508333333333
PSO J084951.880+444118.233,,,,SDSS J084951.90+444118.4,,132.46617876,44.68840865,PS1-11bbg,132.4658958333333,44.68812777777778
PSO J083641.141+444151.893,,,,WISEA J083641.13+444151.5,,129.17143544,44.69775085,PSc100417,129.1720458333333,44.69766388888888
PSO J084215.916+444129.263,,,,WISEA J084215.91+444129.4,,130.56629839,44.69150369,PSc350869,130.5694833333333,44.689927777777775
PSO J181553.891+444142.350,,,,WISEA J181553.89+444142.2,,273.97453242,44.69508114,SN2018gvn,273.97645416666666,44.69648611111111
PSO J084848.435+444224.695,,,,WISEA J084848.42+444224.8,,132.20181161,44.70690075,PSc130601,132.20127083333335,44.70644444444447
PSO J194446.286+444247.384,,,,WISEA J194446.24+444247.9,,296.19283531,44.71321727,SN2019fem,296.19255416666664,44.71359444444445
PSO J084403.599+444339.067,,,,WISEA J084403.62+444338.9,,131.01498683,44.72751545,PSc000349,131.01506249999997,44.72758611111112
PSO J104607.248+444329.012,,,,MCG +08-20-019,0.047198,161.53021157,44.72472,SN2017bgp,161.53062916666667,44.72493055555557
PSO J112823.480+444457.018,,,,WISEA J112823.46+444457.1,0.079884,172.09778254,44.74915958,SN2018aic,172.09522499999997,44.74911111111111
PSO J084520.937+444517.175,,,,WISEA J084520.93+444517.2,,131.33724727,44.75477587,PSc470041,131.33751666666666,44.75479166666667
PSO J133516.215+444541.270,,,,UGC 08577,0.008796,203.81760357,44.76139844,SN2019va,203.81118333333333,44.76629722222222
PSO J121844.344+444652.463,,,,CGCG 244-002,0.03837,184.68473512,44.78122849,SN2018ddh,184.6835083333333,44.781975
PSO J074637.703+444725.903,,,,UGC 04008 NED01,0.03088,116.65709443,44.79053864,SN2007R,116.65637083333333,44.78946944444444
PSO J162225.191+444708.388,,,,WISEA J162225.18+444708.3,0.071146,245.60494895,44.78566341,SN2019kdf,245.60519166666663,44.78568333333333
PSO J021001.886+444753.655,,,,WISEA J021001.92+444753.7,,32.50783322,44.7982354,SN2019uaf,32.50729583333333,44.79810555555554
PSO J084055.741+444728.506,,,,WISEA J084055.83+444727.5,,130.23225129,44.79120708,PS1-11gr,130.23167499999997,44.7917388888889
PSO J020157.731+444832.156,,,,WISEA J020157.71+444832.1,,30.49051660000001,44.80895483,SN2019vsr,30.4905,44.80895
PSO J090842.632+444838.451,,,,UGC 04798,0.026762,137.17760047,44.81068073,SN2019cad,137.17897916666666,44.81278333333333
PSO J131157.429+444855.879,,,,UGC 08281 NOTES02,0.0551669999999999,197.9892824,44.81550663,SN2019hib,197.98925,44.81501666666666
PSO J070712.967+444900.184,,,,CGCG 205-017,0.019183,106.80401998,44.81670306,SN2002hk,106.80854166666664,44.812830555555536
