Unnamed: 0,ra,dec,candidate_id,flux,fluxerr,magzp,filter,meanmjd,rb,rbcut,model,objectdata_id_1,tag,num_rb_obs
225941,149.87277589479,3.18375502996458,DC21fyx,7323.1819043686,92.1445694062197,28.9989500498502,g,59297.1335246922,0.999903,0.3,rknop_20211105_19.h5,88781,default,185
226012,149.87277589479,3.18375502996458,DC21fyx,6518.64634213108,297.287396343792,29.591250142506,r,59301.0192118952,1.0,0.3,rknop_20211105_19.h5,99446,default,185
226092,149.87277589479,3.18375502996458,DC21fyx,30930.5497360458,308.93025922026,30.2804429420093,i,59297.1489536648,0.997386,0.3,rknop_20211105_19.h5,94655,default,185
226143,149.87277589479,3.18375502996458,DC21fyx,7051.17738006592,201.880014110837,28.9908968310975,g,59301.0803469822,1.0,0.3,rknop_20211105_19.h5,103615,default,185
226159,149.87277589479,3.18375502996458,DC21fyx,6415.14702204421,238.447610096669,28.9671814433457,g,59301.0180268322,0.999958,0.3,rknop_20211105_19.h5,96717,default,185
226162,149.87277589479,3.18375502996458,DC21fyx,2349.63716218554,125.251167393692,28.421517077323,r,59301.0818598611,1.0,0.3,rknop_20211105_19.h5,103977,default,185
226170,149.87277589479,3.18375502996458,DC21fyx,21703.2009634933,359.327680895407,29.9543309654365,i,59301.0207961548,1.0,0.3,rknop_20211105_19.h5,97192,default,185
226190,149.87277589479,3.18375502996458,DC21fyx,5104.77297521884,124.697693995582,28.342486441353,i,59301.0832128111,1.0,0.3,rknop_20211105_19.h5,104871,default,185
226200,149.87277589479,3.18375502996458,DC21fyx,2998.67043599719,131.618109092624,28.4405560718091,r,59301.1294777711,0.956572,0.3,rknop_20211105_19.h5,105379,default,185
226233,149.87277589479,3.18375502996458,DC21fyx,6749.30999850099,190.886944013561,28.9763512329677,g,59301.0671005122,1.0,0.3,rknop_20211105_19.h5,99180,default,185
226256,149.87277589479,3.18375502996458,DC21fyx,5188.70484222495,131.170639288319,28.3712314128199,i,59301.1308522811,1.0,0.3,rknop_20211105_19.h5,106629,default,185
226303,149.87277589479,3.18375502996458,DC21fyx,4938.49789003675,129.664482403754,28.3718663159921,i,59301.0706754411,1.0,0.3,rknop_20211105_19.h5,101019,default,185
226455,149.87277589479,3.18375502996458,DC21fyx,5088.1572262736,132.993892142862,28.3585492465764,i,59301.0825430011,1.0,0.3,rknop_20211105_19.h5,104323,default,185
